#Command: python /pacific/home/mdejesus//TRASH/mean_counts.py -f glycerol_H37Rv_rep1.wig,glycerol_H37Rv_rep2.wig -pt /pacific/home/mdejesus//TRASH/H37Rv.gff3 -n TTR -o normalized_counts3.txt
#Summarized to Mean Gene Counts with TRANSIT.
#Reads normalized using 'TTR'
#Normalization Factors: 2.286197257382532 1.4371695843583265
#Files:
#glycerol_H37Rv_rep1.wig
#glycerol_H37Rv_rep2.wig
#Orf	Name	Number of TA sites	glycerol_H37Rv_rep1.wig	glycerol_H37Rv_rep2.wig
Rv3431c	-	9	83.57	114.18
Rv3432c	gadB	22	264.06	289.33
Rv3433c	-	9	13.46	41.68
Rv3434c	-	11	87.91	101.52
Rv3435c	-	12	292.63	201.68
Rv3436c	glmS	30	0.00	0.00
Rv3437	-	9	296.95	266.36
Rv3438	-	12	38.67	61.20
Rv3439c	-	10	445.35	624.59
Rv3440c	-	8	323.50	518.82
Rv3441c	mrsA	15	0.61	3.83
Rv3442c	rpsI	7	0.00	0.00
Rv3443c	rplM	7	0.00	0.00
Rv3444c	esxT	4	122.88	146.23
Rv3445c	esxU	4	264.06	344.20
Rv3446c	-	15	55.48	91.79
Rv3447c	-	46	58.55	66.08
Rv3448	-	26	106.66	50.69
Rv3449	mycP4	21	226.55	137.08
Rv3450c	-	15	430.57	338.41
Rv3451	cut3	15	280.59	408.44
Rv3452	cut4	7	374.94	122.98
Rv3453	-	11	163.36	254.77
Rv3454	-	28	68.42	68.93
Rv3455c	truA	12	0.00	7.78
Rv3456c	rplQ	8	0.00	0.00
Rv3457c	rpoA	13	0.00	0.00
Rv3458c	rpsD	13	0.00	0.00
Rv3459c	rpsK	2	0.00	0.00
Rv3460c	rpsM	10	0.00	0.00
Rv3461c	rpmJ	2	0.00	0.00
Rv3462c	infA	5	0.00	0.00
Rv3463	-	18	198.14	168.63
Rv3464	rmlB	23	0.00	0.00
Rv3465	rmlC	8	0.00	0.00
Rv3466	-	10	68.36	67.55
Rv3467	-	14	95.69	116.92
Rv3468c	-	18	65.66	81.12
Rv3469c	mhpE	12	141.17	137.49
Rv3470c	ilvB2	19	47.05	87.52
Rv3471c	-	6	272.44	362.41
Rv3472	-	11	21.82	130.39
Rv3473c	bpoA	9	134.12	256.77
Rv3474	-	4	177.18	132.94
Rv3475	-	26	123.72	123.15
Rv3476c	kgtP	38	181.87	177.11
Rv3477	PE31	5	45.27	139.12
Rv3478	PPE60	18	74.30	78.49
Rv3479	-	39	183.54	131.81
Rv3480c	-	30	149.29	137.82
Rv3481c	-	10	99.22	91.55
Rv3482c	-	10	540.00	557.62
Rv3483c	-	10	310.24	257.68
Rv3484	cpsA	27	5.00	1.97
Rv3485c	-	10	350.47	212.70
Rv3486	-	6	463.72	586.60
Rv3487c	lipF	14	346.69	372.95
Rv3488	-	5	41.61	121.87
Rv3489	-	3	0.00	0.00
Rv3490	otsA	30	0.00	2.73
Rv3491	-	11	240.67	173.37
Rv3492c	-	10	45.72	21.99
Rv3493c	-	13	16.00	73.41
Rv3494c	mce4F	25	258.80	179.30
Rv3495c	lprN	13	183.25	175.00
Rv3496c	mce4D	26	207.16	151.57
Rv3497c	mce4C	18	119.64	117.05
Rv3498c	mce4B	12	132.79	68.15
Rv3499c	mce4A	31	101.48	106.49
Rv3500c	yrbE4B	22	90.82	94.53
Rv3501c	yrbE4A	10	128.94	150.18
Rv3502c	fabG	11	184.97	189.18
Rv3503c	fdxD	2	285.77	160.24
Rv3504	fadE26	20	228.62	216.73
Rv3505	fadE27	12	3.81	69.94
Rv3506	fadD17	25	149.24	181.49
Rv3507	PE_PGRS53	41	88.33	85.84
Rv3508	PE_PGRS54	37	56.04	64.05
Rv3509c	ilvX	22	346.77	378.17
Rv3510c	-	16	117.17	167.25
Rv3511	PE_PGRS55	24	155.18	171.80
Rv3512	PE_PGRS56	27	42.08	31.51
Rv3513c	fadD18	16	269.06	427.74
Rv3514	PE_PGRS57	33	55.35	62.45
Rv3515c	fadD19	30	134.28	166.52
Rv3516	echA19	7	32.01	69.81
Rv3517	-	15	32.77	63.14
Rv3518c	cyp142	13	71.22	92.42
Rv3519	-	11	211.99	136.27
Rv3520c	-	16	304.92	283.39
Rv3521	-	15	213.99	262.04
Rv3522	ltp4	18	129.30	102.36
Rv3523	ltp3	18	140.09	97.73
Rv3524	-	20	245.31	127.48
Rv3525c	-	8	186.33	157.55
Rv3526	-	22	118.67	97.79
Rv3527	-	6	56.39	113.30
Rv3528c	-	36	16.45	7.43
Rv3529c	-	26	65.24	60.08
Rv3530c	-	17	83.51	71.69
Rv3531c	-	24	116.50	94.61
Rv3532	PPE61	21	355.78	283.19
Rv3533c	PPE62	20	136.60	101.46
Rv3534c	-	10	301.09	267.74
Rv3535c	-	12	185.75	215.46
Rv3536c	-	8	246.91	61.44
Rv3537	-	37	17.73	19.23
Rv3538	-	13	100.07	69.54
Rv3539	PPE63	30	53.50	69.37
Rv3540c	ltp2	18	39.50	47.27
Rv3541c	-	7	22.21	10.47
Rv3542c	-	14	99.45	125.44
Rv3543c	fadE29	17	8.20	27.98
Rv3544c	fadE28	16	118.88	198.96
Rv3545c	cyp125	24	137.27	110.42
Rv3546	fadA5	5	165.98	76.74
Rv3547	-	12	127.26	208.27
Rv3548c	-	8	224.62	251.33
Rv3549c	-	11	102.88	137.05
Rv3550	echA20	5	106.99	14.95
Rv3551	-	16	169.32	197.88
Rv3552	-	10	6.86	15.67
Rv3553	-	9	70.11	82.24
Rv3554	fdxB	30	108.59	158.57
Rv3555c	-	12	14.67	7.31
Rv3556c	fadA6	16	64.16	53.09
Rv3557c	-	16	69.59	66.02
Rv3558	PPE64	17	104.49	61.80
Rv3559c	-	8	46.87	15.81
Rv3560c	fadE30	13	147.72	123.71
Rv3561	fadD3	14	149.58	194.22
Rv3562	fadE31	12	33.72	29.34
Rv3563	fadE32	11	163.57	137.58
Rv3564	fadE33	11	18.08	47.03
Rv3565	aspB	18	34.67	28.82
Rv3566c	nat	15	90.99	108.84
Rv3566A	-	3	0.00	59.88
Rv3567c	-	8	34.01	24.07
Rv3568c	bphC	15	66.91	63.33
Rv3569c	bphD	14	42.13	57.38
Rv3570c	-	18	92.21	35.45
Rv3571	hmp	12	116.79	104.91
Rv3572	-	8	208.04	194.20
Rv3573c	fadE34	24	145.84	80.54
Rv3574	-	13	27.43	29.96
Rv3575c	-	18	108.21	145.95
Rv3576	lppH	13	119.06	125.48
Rv3577	-	14	23.52	38.60
Rv3578	arsB2	15	138.39	294.43
Rv3579c	-	12	0.00	0.00
Rv3580c	cysS	27	0.00	0.00
Rv3581c	ispF	5	0.00	0.00
Rv3582c	ispD	13	0.00	0.00
Rv3583c	-	8	0.00	4.85
Rv3584	lpqE	6	62.49	73.06
Rv3585	radA	21	259.10	239.32
Rv3586	-	14	189.75	267.21
Rv3587c	-	14	0.00	0.00
Rv3588c	-	8	0.00	0.00
Rv3589	mutY	15	142.66	202.45
Rv3590c	PE_PGRS58	21	80.23	134.00
Rv3591c	-	16	92.02	119.82
Rv3592	TB11.2	2	659.57	349.23
Rv3593	lpqF	19	31.28	3.71
Rv3594	-	15	111.11	120.05
Rv3595c	PE_PGRS59	15	37.65	64.19
Rv3596c	clpC1	29	0.00	0.00
Rv3597c	lsr2	5	0.00	0.00
Rv3598c	lysS	31	0.00	0.00
Rv3599c	-	1	0.00	0.00
Rv3600c	-	13	122.58	157.87
Rv3601c	panD	9	0.00	0.00
Rv3602c	panC	13	0.00	0.00
Rv3603c	-	13	0.00	0.00
Rv3604c	-	14	0.00	0.00
Rv3605c	-	6	295.30	384.20
Rv3606c	folK	8	25.72	17.78
Rv3607c	folB	7	12.08	14.17
Rv3608c	folP1	9	3.05	0.00
Rv3609c	folE	12	0.00	0.00
Rv3610c	ftsH	34	22.93	18.94
Rv3611	-	2	411.52	270.19
Rv3612c	-	4	687.57	544.69
Rv3613c	-	0	0.00	0.00
Rv3614c	-	8	153.18	259.59
Rv3615c	-	11	152.55	248.24
Rv3616c	-	18	159.14	206.39
Rv3617	ephA	19	397.32	393.86
Rv3618	-	22	154.94	185.46
Rv3619c	esxV	4	294.92	395.22
Rv3620c	esxW	4	206.90	372.59
Rv3621c	PPE65	14	197.10	286.30
Rv3622c	PE32	4	161.75	276.66
Rv3623	lpqG	6	279.68	217.01
Rv3624c	hpt	11	6.44	8.88
Rv3625c	mesJ	9	0.00	0.00
Rv3626c	-	11	93.94	66.11
Rv3627c	-	14	0.00	0.00
Rv3628	ppa	10	12.12	0.86
Rv3629c	-	17	204.14	289.29
Rv3630	-	24	62.49	74.01
Rv3631	-	6	9.14	76.89
Rv3632	-	7	243.32	269.57
Rv3633	-	18	85.99	156.65
Rv3634c	galE1	20	0.00	0.00
Rv3635	-	26	16.27	14.70
Rv3636	-	6	219.09	122.88
Rv3637	-	5	178.32	157.80
Rv3638	-	13	10.02	57.71
Rv3639c	-	9	141.49	96.93
Rv3640c	-	17	124.13	102.29
Rv3641c	fic	10	374.71	388.75
Rv3642c	-	2	225.19	199.05
Rv3643	-	8	16.00	69.52
Rv3644c	-	16	0.00	3.14
Rv3645	-	25	12.99	0.00
Rv3646c	topA	52	0.00	0.00
Rv3647c	-	9	148.35	105.39
Rv3648c	cspA	4	0.00	0.00
Rv3649	-	33	51.40	94.03
Rv3650	PE33	3	0.76	0.00
Rv3651	-	14	335.25	199.36
Rv3652	PE_PGRS60	6	272.82	430.67
Rv3653	PE_PGRS61	5	66.30	79.62
Rv3654c	-	1	0.00	0.00
Rv3655c	-	6	140.22	243.60
Rv3656c	-	5	13.26	56.05
Rv3657c	-	8	68.87	68.98
Rv3658c	-	10	33.61	85.37
Rv3659c	-	6	32.77	108.27
Rv3660c	-	9	139.46	24.43
Rv3661	-	16	132.46	161.14
Rv3662c	-	4	0.00	7.19
Rv3663c	dppD	25	59.26	83.70
Rv3664c	dppC	14	25.96	25.87
Rv3665c	dppB	17	33.35	37.79
Rv3666c	dppA	23	7.65	12.18
Rv3667	acs	39	84.18	133.29
Rv3668c	-	9	125.23	129.66
Rv3669	-	4	0.00	5.03
Rv3670	ephE	16	0.00	0.00
Rv3671c	-	15	0.00	0.00
Rv3672c	-	10	91.22	50.88
Rv3673c	-	7	0.00	0.00
Rv3674c	nth	11	203.06	199.90
Rv3675	-	6	271.30	171.74
Rv3676	-	2	0.00	0.00
Rv3677c	-	11	55.08	100.99
Rv3678c	-	8	336.36	169.95
Rv3678A	-	2	200.04	646.73
Rv3679	-	15	56.70	57.68
Rv3680	-	20	26.18	18.04
Rv3681c	whiB4	7	141.74	133.04
Rv3682	ponA2	37	25.46	36.01
Rv3683	-	11	70.87	162.27
Rv3684	-	18	76.08	105.47
Rv3685c	cyp137	19	111.90	113.23
Rv3686c	-	6	288.82	449.12
Rv3687c	rsfB	5	15.09	12.65
Rv3688c	-	7	83.94	181.90
Rv3689	-	33	97.89	148.68
Rv3690	-	11	54.66	40.11
Rv3691	-	15	60.20	40.82
Rv3692	moxR2	15	19.51	82.78
Rv3693	-	16	55.01	63.68
Rv3694c	-	15	11.43	22.71
Rv3695	-	10	15.09	34.20
Rv3696c	glpK	29	0.00	1.34
Rv3697c	-	9	114.31	135.73
Rv3698	-	35	64.60	75.68
Rv3699	-	13	57.86	43.12
Rv3700c	-	13	86.70	131.22
Rv3701c	-	15	31.24	8.62
Rv3702c	-	8	21.43	17.61
Rv3703c	-	18	159.27	157.85
Rv3704c	gshA	14	226.99	250.17
Rv3705c	-	9	71.89	57.49
Rv3705A	-	4	604.70	326.24
Rv3706c	-	3	119.64	49.34
Rv3707c	-	15	252.24	206.19
Rv3708c	asd	10	0.00	0.00
Rv3709c	ask	14	0.00	0.00
Rv3710	leuA	29	0.00	0.00
Rv3711c	dnaQ	15	286.99	237.23
Rv3712	-	11	0.00	0.00
Rv3713	cobQ2	10	0.00	0.00
Rv3714c	-	12	183.09	261.45
Rv3715c	recR	4	25.72	13.65
Rv3716c	-	4	36.01	64.31
Rv3717	-	12	45.72	27.43
Rv3718c	-	5	32.01	68.41
Rv3719	-	39	7.80	66.11
Rv3720	-	32	15.29	22.90
Rv3721c	dnaZX	26	0.00	0.28
Rv3722c	-	31	4.35	2.64
Rv3723	-	9	151.14	124.24
Rv3724A	cut5a	3	140.22	70.90
Rv3724B	cut5b	18	125.61	162.64
Rv3725	-	13	507.54	522.13
Rv3726	-	16	118.74	110.12
Rv3727	-	38	173.45	136.83
Rv3728	-	32	173.82	224.60
Rv3729	-	29	214.11	355.58
Rv3730c	-	21	123.56	224.88
Rv3731	ligC	18	280.19	193.70
Rv3732	-	16	151.32	276.21
Rv3733c	-	4	481.82	348.51
Rv3734c	-	18	164.86	229.55
Rv3735	-	6	226.33	311.87
Rv3736	-	23	301.18	291.50
Rv3737	-	17	225.39	120.30
Rv3738c	PPE66	19	147.28	147.88
Rv3739c	PPE67	7	292.96	196.69
Rv3740c	-	20	216.73	354.41
Rv3741c	-	9	125.49	110.18
Rv3742c	-	6	271.30	171.98
Rv3743c	ctpJ	31	150.15	158.00
Rv3744	-	7	183.55	131.60
Rv3745c	-	2	86.88	160.24
Rv3746c	PE34	5	29.26	228.22
Rv3747	-	7	36.91	74.12
Rv3748	-	6	16.00	40.24
Rv3749c	-	12	108.98	102.76
Rv3750c	-	5	356.65	76.17
Rv3751	-	1	109.74	596.43
Rv3752c	-	2	0.00	0.00
Rv3753c	-	5	0.00	0.00
Rv3754	tyrA	14	0.65	0.00
Rv3755c	-	12	32.96	35.45
Rv3756c	proZ	16	190.90	277.64
Rv3757c	proW	13	81.25	160.74
Rv3758c	proV	17	114.71	107.96
Rv3759c	proX	13	121.70	87.56
Rv3760	-	5	0.00	50.88
Rv3761c	fadE36	16	189.75	220.70
Rv3762c	-	29	158.69	160.96
Rv3763	lpqH	8	35.15	44.19
Rv3764c	-	16	0.00	0.00
Rv3765c	-	13	312.51	349.90
Rv3766	-	15	54.72	116.70
Rv3767c	-	16	119.74	100.87
Rv3768	-	12	144.98	94.61
Rv3769	-	1	4.57	67.55
Rv3770c	-	8	497.25	376.00
Rv3770A	-	2	172.61	197.61
Rv3770B	-	3	70.11	126.95
Rv3771c	-	2	0.00	0.00
Rv3772	hisC2	18	70.24	57.41
Rv3773c	-	8	233.19	135.27
Rv3774	echA21	13	193.45	319.94
Rv3775	lipE	24	292.63	291.33
Rv3776	-	23	164.81	176.96
Rv3777	-	15	34.90	138.06
Rv3778c	-	17	0.00	0.00
Rv3779	-	47	59.54	94.58
Rv3780	-	8	1.14	0.00
Rv3781	rfbE	14	0.00	0.00
Rv3782	-	18	0.00	0.00
Rv3783	rfbD	11	29.93	47.43
Rv3784	-	28	339.50	462.92
Rv3785	-	14	212.62	259.61
Rv3786c	-	23	238.26	360.10
Rv3787c	-	10	208.73	260.99
Rv3788	-	6	1032.98	541.33
Rv3789	-	8	0.00	10.06
Rv3790	-	27	21.00	13.73
Rv3791	-	12	0.00	0.00
Rv3792	-	33	0.00	2.74
Rv3793	embC	52	0.48	0.08
Rv3794	embA	55	0.00	1.70
Rv3795	embB	49	0.00	0.00
Rv3796	-	25	74.90	109.68
Rv3797	fadE35	25	124.09	162.63
Rv3798	-	16	298.78	243.60
Rv3799c	accD4	17	0.00	0.00
Rv3800c	pks13	58	0.00	0.00
Rv3801c	fadD32	24	0.00	0.00
Rv3802c	-	24	10.67	10.96
Rv3803c	fbpD	16	65.87	58.12
Rv3804c	fbpA	16	1.71	4.67
Rv3805c	-	40	0.00	1.94
Rv3806c	-	18	0.00	0.00
Rv3807c	-	4	0.00	33.77
Rv3808c	glfT	29	0.00	0.00
Rv3809c	glf	34	3.90	10.57
Rv3810	pirG	13	40.62	2.65
Rv3811	-	26	204.09	176.16
Rv3812	PE_PGRS62	28	174.16	153.88
Rv3813c	-	12	73.54	75.45
Rv3814c	-	11	161.70	106.48
Rv3815c	-	14	150.89	179.44
Rv3816c	-	14	6.37	6.06
Rv3817	-	8	28.86	105.09
Rv3818	-	32	6.64	18.46
Rv3819	-	8	9.14	107.07
Rv3820c	papA2	44	229.81	230.31
Rv3821	-	18	57.41	115.21
Rv3822	-	39	182.02	208.21
Rv3823c	mmpL8	78	8.65	26.92
Rv3824c	papA1	46	215.30	290.06
Rv3825c	pks2	116	273.46	357.32
Rv3826	fadD23	50	42.39	41.53
Rv3827c	-	18	212.36	134.85
Rv3828c	-	8	80.87	99.52
Rv3829c	-	33	143.61	134.48
Rv3830c	-	10	28.12	261.85
Rv3831	-	11	222.18	273.45
Rv3832c	-	9	237.26	227.39
Rv3833	-	10	98.54	149.61
Rv3834c	serS	23	0.00	0.00
Rv3835	-	15	37.49	51.35
Rv3836	-	7	88.84	215.78
Rv3837c	-	10	216.27	275.51
Rv3838c	pheA	13	24.80	3.98
Rv3839	-	16	230.62	479.57
Rv3840	-	10	505.02	540.38
Rv3841	bfrB	9	0.00	2.87
Rv3842c	glpQ1	13	360.52	384.94
Rv3843c	-	17	59.98	36.94
Rv3844	-	3	78.49	69.94
Rv3845	-	5	26.52	109.51
Rv3846	sodA	14	0.00	0.00
Rv3847	-	7	110.39	40.04
Rv3848	-	9	69.35	59.72
Rv3849	-	9	0.00	34.65
Rv3850	-	5	66.76	45.41
Rv3851	-	2	58.30	58.21
Rv3852	hns	4	174.89	99.88
Rv3853	menG	4	167.46	155.57
Rv3854c	ethA	30	107.38	114.16
Rv3855	ethR	11	65.05	126.08
Rv3856c	-	11	63.18	97.47
Rv3857c	-	3	267.49	412.47
Rv3858c	gltD	14	0.00	0.00
Rv3859c	gltB	80	0.00	0.00
Rv3860	-	14	188.61	188.68
Rv3861	-	1	0.00	0.00
Rv3862c	whiB6	7	194.00	317.00
Rv3863	-	17	44.65	91.89
Rv3864	-	18	0.00	9.58
Rv3865	-	9	30.99	53.18
Rv3866	-	12	58.11	99.40
Rv3867	-	7	76.75	65.29
Rv3868	-	31	64.23	42.56
Rv3869	-	29	314.79	364.10
Rv3870	-	38	205.28	228.66
Rv3871	-	25	278.92	273.06
Rv3872	PE35	1	210.33	597.86
Rv3873	PPE68	12	460.29	451.51
Rv3874	esxB	5	147.69	131.64
Rv3875	esxA	4	0.00	0.00
Rv3876	-	25	216.27	313.76
Rv3877	-	28	198.49	270.24
Rv3878	-	5	198.44	131.07
Rv3879c	-	38	354.30	336.52
Rv3880c	-	4	62.30	41.32
Rv3881c	-	24	185.56	254.50
Rv3882c	-	23	413.40	421.15
Rv3883c	mycP1	17	260.36	363.27
Rv3884c	-	33	112.65	109.40
Rv3885c	-	27	33.02	79.10
Rv3886c	mycP2	27	116.68	114.44
Rv3887c	-	32	173.04	219.75
Rv3888c	-	29	42.18	59.82
Rv3889c	-	19	227.78	238.34
Rv3890c	esxC	5	187.47	195.17
Rv3891c	esxD	9	103.64	119.92
Rv3892c	PPE69	10	135.11	159.09
Rv3893c	PE36	2	355.50	293.18
Rv3894c	-	51	77.19	109.08
Rv3895c	-	13	128.55	254.71
Rv3896c	-	15	155.77	130.49
Rv3897c	-	7	213.92	204.28
Rv3898c	-	6	253.01	282.16
Rv3899c	-	18	133.87	156.01
Rv3900c	-	17	95.08	101.87
Rv3901c	-	14	332.81	381.67
Rv3902c	-	26	0.00	0.00
Rv3903c	-	51	106.42	121.76
Rv3904c	esxE	3	17.53	41.68
Rv3905c	esxF	5	168.26	223.34
Rv3906c	-	10	133.51	193.30
Rv3907c	pcnA	19	0.00	0.00
Rv3908	-	11	74.41	142.41
Rv3909	-	41	0.00	0.00
Rv3910	-	54	22.23	20.92
Rv3911	sigM	12	146.32	177.37
Rv3912	-	11	73.37	122.55
Rv3913	trxB2	18	6.99	3.51
Rv3914	trxC	5	0.00	0.00
Rv3915	-	24	0.00	0.00
Rv3916c	-	11	0.00	0.65
Rv3917c	parB	18	0.00	0.00
Rv3918c	parA	19	0.00	2.80
Rv3919c	gidB	13	64.01	63.24
Rv3920c	-	3	92.97	269.71
Rv3921c	-	23	0.00	0.12
Rv3922c	-	12	8.00	6.83
Rv3923c	rnpA	4	0.00	4.31
Rv3924c	rpmH	2	0.00	0.00
Rvnr01	rrs	62	0.00	0.00
